itemid,top_items
354233,158666 188792 464559 437804 209163 190070 341197 58225 137179 406333
140327,386470 91415 267625 150132 13717 832 455675 220452 368879 1949
386470,140327 150132 114335 832 191061 1949 188701 3593 317553 100962
310756,242093 45227 74173 190692 290651 294154 305820 92829 111334 306626
389566,310756 355026 363438 332372 308991
112445,408330 364046 77385 133168 235143 208932 225593
208932,4689 217417 106186 112962 138589 93229 323621 4305 390425 407370
4303,59211 335564 170243 274056 55543 271393
59211,4303 332654 335564 395017 253117 209420 37207 271393 259680 429354
271393,405267 235907 459618 7521 175433 195012 233328 274733 374805 282258
238822,407125 312130 264265 196513 87284 228017 269936 430522 227880 413613
407125,228017 167900 143775 377718 110653 446759 59402 87284 449364 238822
1543,433060 101034 372248 309434 239494 142497 14430 129271 159095 251868
42444,135138 140816 83791 14430 442706 184465 309803 372248 453552 309434
98547,257551 48134 299751 299164 135138 286343 370199 374375 324995 222362
143416,396491 270052 390036 239494 66302 135138 417230 277638 451346 1543
169260,273416 446565 247578 307559 287090 190916 431653 370622 460084 370462
170751,400998 114837 397013 75254 264183 300766 131874 247578 406529 366450
184465,365673 184903 190916 99373 240262 107523 412767 1312 140816 407287
216146,92353 372248 433060 451346 239494 107523 4382 1543 143416 395361
359368,317853 356421 314720 153335 219473 372248 293125 394411 446306 163474
365673,184903 184465 365692 190916 99373 432418 31091 431653 135138 366384
372248,114721 451703 216567 50226 216146 1543 395361 412190 48310 359368
395361,54244 130785 344010 222577 187672 372248 412190 447193 214481 235438
412190,372248 395361 447193 216146 219473 273743 1543 399254 90183 1931
433060,66302 327267 1543 396491 216146 107523 309803 372248 92353 313906
86324,141127 302224 12157 211334 28847 173991 78317 57833 150173 40413
376793,231819 189635 33645 228251 10648 348053 289844 367452 385769 462938
381636,21561 240018 205606 200659 344032 462938 283255 314686 148416 27894
199646,110856 164576 417666 281211 64658 262162 443542 373322 114553 449739
395497,67572 37356 465833 14869 401946 53452 125706 157770 275333 104461
417666,425758 14869 404 6108 170374 216058 225491 375243 384193 445643
159380,447661 46443 102306 17419 309402 79829 419037 251349 430048 198996
167127,276787 349919 161688 112054 364422 118932 71851 420546 278720 451347
198996,159380 190125 162406 46443 380169 202952 279815 269590 194913 309402
270291,329624 366959 135212 332955 159330 126845 241463 353517 267451 247587
329624,167240 270291 207857 226709 313835 373788 273216 130303 75475 263735
106801,28747 435401 105416 124035 308162 177682 184949 48291 182407 121131
216225,127762 435401 387869 61203 402403 73056 291249 64881 57301 196608
140269,158112 167337
158112,350177 145283 59752 80973 198504 153084 424630 239195 387252 65495
167337,55911 31454 194501 462341 54781 119675 20878 94610 420459 356455
320130,240160 312776 304839 447890 267196 456912 170390 263245 108486 389158
356455,271896 159162 416399 167337 33826 76902 189636 238613 214051 127537
304537,85614 283816 379796 161660 91873 58166 237494 453618 288278 275406
465276,232089 384657 271151 14200 244908 455984 267050 200723 49749 134919
117889,279624 287657 457671 358882 384439 435677 351798 60628 235012 404747
130121,102525 222592 274283 227688 415882 443795 235274 86191 117889 450404
146364,341534 389308 249186 379534 403548 151848 104830 287723 356820 362528
219718,35201 396445 377207 456 97594 22223 211247 18681 272969 347372
227688,241362 61046 187569 204433 439371 419250 2829 272251 135764 367188
246589,324508 348495 347530 129299 337170 245832 408043 277390 105338 86282
351798,397068 441267 278341 3903 154516 174537 335420 117889 63338 151282
450404,466210 4115 96075 291403 464884 230455 249980 409604 312083 245396
11140,98830 159071 380028
98830,11140 159071 380028
159071,11140 98830 380028
380028,11140 98830 159071
215051,452041 49907 396286 442228 232099 23634 404478 5729 15723 199533
241555,406296 412622 325310 9877 38965 265571 37115 283115 82377 252319
